index,filename,label,category,output_width,output_height
1,01_key_olive.png,key_olive,key,12,24
2,02_key_silver.png,key_silver,key,12,24
3,03_key_gold.png,key_gold,key,12,24
4,04_key_orange.png,key_orange,key,12,24
5,05_key_bent_silver.png,key_bent_silver,key,18,24
6,06_key_long_gold.png,key_long_gold,key,28,14
7,07_potion_red.png,potion_red,potion,16,24
8,08_potion_blue.png,potion_blue,potion,16,24
9,09_potion_green.png,potion_green,potion,16,24
10,10_ring_red_gem.png,ring_red_gem,ring,12,16
11,11_ring_green_gem.png,ring_green_gem,ring,12,16
12,12_ring_blue_gem.png,ring_blue_gem,ring,12,16
13,13_skull_beige.png,skull_beige,item,12,12
14,14_skull_dark.png,skull_dark,item,12,12
15,15_coin_gold_single.png,coin_gold_single,currency,12,14
16,16_gem_white.png,gem_white,item,8,14
17,17_bar_orange.png,bar_orange,item,4,14
18,18_bar_gold_orange.png,bar_gold_orange,item,8,14
19,19_nugget_gold.png,nugget_gold,currency,12,14
20,20_coin_pile_gold.png,coin_pile_gold,currency,26,24
21,21_ring_blue_white.png,ring_blue_white,ring,16,16
22,22_book_red.png,book_red,book,22,28
23,23_tombstone_crack.png,tombstone_crack,tombstone,26,24
24,24_tombstone_lines.png,tombstone_lines,tombstone,26,24
25,25_tombstone_cross.png,tombstone_cross,tombstone,26,24
26,26_tombstone_skull.png,tombstone_skull,tombstone,26,24
