index,filename,label,category,output_width,output_height
1,01_chest_closed_blue_trim.png,chest_closed_blue_trim,chest,32,24
2,02_chest_closed_gold_trim.png,chest_closed_gold_trim,chest,32,24
3,03_chest_open_empty_blue_trim.png,chest_open_empty_blue_trim,chest,32,32
4,04_chest_open_empty_gold_trim.png,chest_open_empty_gold_trim,chest,32,32
5,05_chest_open_loot_blue_trim.png,chest_open_loot_blue_trim,chest,32,32
6,06_chest_open_loot_gold_trim.png,chest_open_loot_gold_trim,chest,32,32
7,07_ornate_chest_gold_tan.png,ornate_chest_gold_tan,chest,28,26
8,08_ornate_chest_gold_red.png,ornate_chest_gold_red,chest,28,26
9,09_ornate_chest_gold_blue.png,ornate_chest_gold_blue,chest,28,26
10,10_orange_chest_closed_frame1.png,orange_chest_closed_frame1,chest,32,28
11,11_orange_chest_open_empty_frame1.png,orange_chest_open_empty_frame1,chest,32,30
12,12_orange_chest_open_empty_frame2.png,orange_chest_open_empty_frame2,chest,32,32
13,13_orange_chest_closed_frame2.png,orange_chest_closed_frame2,chest,32,28
14,14_orange_chest_open_loot_frame1.png,orange_chest_open_loot_frame1,chest,32,30
15,15_orange_chest_open_loot_frame2.png,orange_chest_open_loot_frame2,chest,32,32
16,16_crate_wood_tall_right.png,crate_wood_tall_right,crate,32,64
17,17_crate_wood_tall_corrected.png,crate_wood_tall_corrected,crate,68,86
18,18_crate_orange_tall_corrected.png,crate_orange_tall_corrected,crate,56,80
19,19_bag_brown.png,bag_brown,item,24,26
20,20_bag_blue.png,bag_blue,item,24,26
